Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2020-01-02,72.71607208251953,72.77659819422657,71.46681225027338,71.72101896406637,135480400
2020-01-03,72.00912475585938,72.7717522953066,71.78396939069293,71.94133580542943,146322800
2020-01-06,72.58291625976562,72.62165386110323,70.87608272259153,71.12787343706493,118387200
2020-01-07,72.24156188964844,72.84923913180799,72.0212459184403,72.59260896500349,108872000
2020-01-08,73.40364837646484,73.70627893727402,71.943758846659,71.943758846659,132079200
2020-01-09,74.9627914428711,75.15647202012606,74.13237506994084,74.38415834268419,170108400
2020-01-10,75.13227844238281,75.69880941545972,74.6287043855216,75.19765137920673,140644800
2020-01-13,76.7374267578125,76.76406209011934,75.33080045122755,75.44943665950792,121532000
2020-01-14,75.70121765136719,76.88511195829709,75.57774940600967,76.67448226895164,161954400
2020-01-15,75.37679290771484,76.38394823058523,74.94342390604251,75.5002685322302,121923600
2020-01-16,76.32099914550781,76.43237250443956,75.5583716587375,75.92152830847965,108829200
2020-01-17,77.16595458984375,77.16837061022176,76.26290232469962,76.57037231867773,137816400
2020-01-21,76.64302062988281,77.23617220085674,76.50501929653306,76.7931242324277,110843200
2020-01-22,76.91658020019531,77.47099402402007,76.82215592624772,77.1296258918447,101832400
2020-01-23,77.28700256347656,77.3668937772688,76.42026453610515,76.96984634011159,104472000
2020-01-24,77.06427001953125,78.27963174807223,76.8730054274966,77.5339532626897,146537600
2020-01-27,74.79816436767578,75.48089322464955,73.81279759380895,75.06689673049003,161940000
2020-01-28,76.9141616821289,77.08605376922371,75.58258723533865,75.6818509443487,162234000
2020-01-29,78.52416229248047,79.37395133976464,77.80753513570895,78.5507976259598,216229200
2020-01-30,78.41036987304688,78.46363314950943,77.17079622640016,77.60416527632543,126743200
2020-01-31,74.93375396728516,78.1222655759737,74.63838622980492,77.69858276990855,199588400
2020-02-03,74.72795867919922,75.89731989448796,73.16880546652003,73.67237945985059,173788400
2020-02-04,77.19499206542969,77.38625661675313,75.93120675854502,76.33794039127015,136616400
2020-02-05,77.8244857788086,78.62585099313237,77.21922459648295,78.32563642255818,118826800
2020-02-06,78.73478698730469,78.73721039613278,77.53637437960353,78.09563507421905,105425600
2020-02-07,77.66456604003906,78.48239314790939,77.17192792843306,78.23243405494627,117684000
2020-02-10,78.03343200683594,78.03343200683594,76.16480809009461,76.24488890405078,109348800
2020-02-11,77.56263732910156,78.60373238920275,77.34422769426291,78.53093164624849,94323200
2020-02-12,79.4045639038086,79.40941481717738,78.01401070527898,78.01401070527898,113730400
2020-02-13,78.8391342163086,79.16675238353734,78.47026476188894,78.67411425559266,94747600
2020-02-14,78.8585433959961,79.10850246780329,78.34891601878451,78.80757547409223,80113600
2020-02-18,77.41461181640625,77.59662109183667,76.34924730268484,76.53125657811528,152531200
2020-02-19,78.5357894897461,78.76633753940254,77.65729255269991,77.65729255269991,93984000
2020-02-20,77.73009490966797,78.78575023333428,77.22289659591061,78.29554123010857,100566000
2020-02-21,75.97067260742188,77.76650347779221,75.3518440007245,77.32239667498202,129554000
2020-02-24,72.36201477050781,73.81808861613008,70.19004239437265,72.13875426152481,222195200
2020-02-25,69.91097259521484,73.41768758581995,69.4377529242665,73.03425797216033,230673600
2020-02-26,71.02001190185547,72.28922581008212,69.52753744829661,69.53481752247102,198054800
2020-02-27,66.37757873535156,69.40621629434781,66.24167904417651,68.21709029357726,320605600
2020-02-28,66.33873748779297,67.56427105877654,62.21562305087625,62.431610947009084,426510000
2020-03-02,72.51493072509766,73.15317785016722,67.39683013967526,68.5034460821462,341397200
2020-03-03,70.21189880371094,73.77442519005979,69.3576638774749,73.69434436871329,319475600
2020-03-04,73.4686508178711,73.62881987433597,71.13650877871662,71.93977581539738,219178400
2020-03-05,71.08554077148438,72.69449642985231,70.71909308665877,71.71650028960082,187572800
2020-03-06,70.14152526855469,70.57592284013839,68.24863164787311,68.43549184953756,226176800
2020-03-09,64.5938949584961,67.48662548846899,63.8245990046388,64.00660831738968,286744800
2020-03-10,69.24604034423828,69.5129887846972,65.37045555760074,67.25607654604191,285290000
2020-03-11,66.841064453125,68.24617771103672,65.97469878489102,67.31672054900297,255598800
2020-03-12,60.24021530151367,65.52333888472222,60.18440016078189,62.111272274536645,418474000
2020-03-13,67.4574966430664,67.93072375869788,61.38566570157223,64.28325788918951,370732000
2020-03-16,58.7792854309082,62.873275496652674,58.242963182289955,58.716186517548486,322423600
2020-03-17,61.36381530761719,62.516536915107906,57.854675154192996,60.06548110830406,324056000
2020-03-18,59.861637115478516,60.66975874633833,57.54405159077075,58.187153255274865,300233600
2020-03-19,59.40296936035156,61.35896164078844,58.876356338925326,60.036361741511776,271857200
2020-03-20,55.631736755371094,61.11385462075303,55.330813454385684,59.98539501929856,401693200
2020-03-23,54.449893951416016,55.45215955190559,51.595989830091725,55.350234801464175,336752800
2020-03-24,59.91259002685547,60.10915941559077,56.85968789896207,57.35960602413764,287531200
2020-03-25,59.58256149291992,62.671864767772384,59.286492755183524,60.8517718897151,303602000
2020-03-26,62.717960357666016,62.77620094683011,59.78639763980699,59.82522716790813,252087200
2020-03-27,60.12130355834961,62.09428153233142,59.95385443702902,61.33712415208677,204216800
2020-03-30,61.83704376220703,62.0093475048291,60.52414930589501,60.849342024154396,167976400
2020-03-31,61.71084976196289,63.700817094858024,61.15511640489983,62.0287624061651,197002000
2020-04-01,58.46380615234375,60.35912878890937,58.031837774101646,59.82038104472191,176218400
2020-04-02,59.43937301635742,59.49276269917482,57.49066070248686,58.32547715782636,165934000
2020-04-03,58.58514404296875,59.62623542608821,57.99300663222972,58.92246773803886,129880000
2020-04-06,63.69596862792969,63.85127936413574,60.51930084799207,60.88817032671101,201820400
2020-04-07,62.95821762084961,65.93589399470639,62.853867417629125,65.71747694762487,202887200
2020-04-08,64.5696029663086,64.88508270225176,63.395037501230945,63.76147775323179,168895200
2020-04-09,65.03553771972656,65.54031414733082,64.2371292048889,65.20784512846275,161834800
2020-04-13,66.31204223632812,66.42125075775364,64.51136064871955,65.11320728466447,131022800
2020-04-14,69.66100311279297,69.95222087152594,67.47689214022147,67.95011914666873,194994800
2020-04-15,69.02518463134766,69.48627323972364,68.10300741459568,68.5325465687292,131154400
2020-04-16,69.57364654541016,69.94009422345636,68.5204205220071,69.7410956561746,157125200
2020-04-17,68.629638671875,69.63676274652339,67.18812439019051,69.08830567330986,215250000
2020-04-20,67.20508575439453,68.35781086823624,67.1856746953165,67.45262304497999,130015200
2020-04-21,65.12776947021484,67.28276042085989,64.41429253639382,67.0473614677832,180991600
2020-04-22,67.00367736816406,67.4404966317663,66.05723069304202,66.39940158614417,116862400
2020-04-23,66.74402618408203,68.37482987612435,66.70519664308368,66.94787571984011,124814400
2020-04-24,68.6708755493164,68.68058478279482,67.22208165212722,67.27062041354411,126161200
2020-04-27,68.71944427490234,69.05191345824856,67.93801727360125,68.38696768557772,117087600
2020-04-28,67.60551452636719,69.3649373275059,67.51330272470628,69.18292807221569,112004800
2020-04-29,69.8260269165039,70.29682473918272,68.89414050420481,69.0979899625851,137280800
2020-04-30,71.29910278320312,71.47626115798072,69.976506388418,70.36721610873765,183064000
2020-05-01,70.1512222290039,72.56102298757865,69.3697955313602,69.46686565282405,240616800
2020-05-04,71.14378356933594,71.27240315582554,69.48385993378157,70.17549663342325,133568000
2020-05-05,72.21156311035156,73.04637946818022,71.4592567243347,71.60486560646302,147751200
2020-05-06,72.95659637451172,73.58998507405805,72.52947892116252,72.91533768168664,142333600
2020-05-07,73.7113265991211,74.05836324243135,73.28178737986006,73.58513616899319,115215200
2020-05-08,75.46576690673828,75.51930110394392,74.04468608439737,74.37319104788544,133838400
2020-05-11,76.65325927734375,77.14965926401848,74.7625342106639,74.97180698726206,145946400
2020-05-12,75.7772445678711,77.79206581684177,75.65557660011677,77.3394571152635,162301200
2020-05-13,74.86229705810547,76.88198972405412,73.78188493945902,75.95730873840742,200622400
2020-05-14,75.32219696044922,75.38303093576837,73.37307401489639,74.09821767406875,158929200
2020-05-15,74.87689971923828,74.92313414173562,73.05188017652294,73.08595077247826,166348400
2020-05-18,76.6410903930664,77.01582984347145,75.51201542213853,76.20552437986748,135178400
2020-05-19,76.19822692871094,77.50736817025115,76.16659206539425,76.65812803670754,101729600
2020-05-20,77.68013763427734,77.75069971271533,77.02069186607584,77.05962650901947,111504800
2020-05-21,77.10101318359375,78.08409270413537,76.8625412299203,77.54145075007376,102688800
2020-05-22,77.59739685058594,77.68013017413679,76.73598559499173,76.83818252513326,81803200
2020-05-26,77.07179260253906,78.89924040659268,77.01582266467501,78.71917419280368,125522000
2020-05-27,77.4075927734375,77.55359582351838,76.1860490206754,76.92822809774341,112945200
2020-05-28,77.4416732788086,78.70458757066594,76.80413421876992,77.08153336599706,133560800
2020-05-29,77.36626434326172,78.14737098459715,77.00856005266432,77.68503397472975,153532400
2020-06-01,78.31766510009766,78.43933305662227,77.18858289905835,77.3199863713913,80791200
2020-06-02,78.68023681640625,78.70457189402366,77.60712449987925,78.04999766403765,87642800
2020-06-03,79.1133804321289,79.37618740858451,78.42717129207927,79.00144797787304,104491200
2020-06-04,78.43205261230469,79.23505835292487,78.05731313453714,78.93575985874213,87560400
2020-06-05,80.6658706665039,80.72670465644849,78.65348495250613,78.68268407951567,137250400
2020-06-08,81.14280700683594,81.17687760567065,79.64872807646304,80.36170065582685,95654400
2020-06-09,83.70512390136719,84.09932691847067,80.78996422247816,80.82159908143493,147712400
2020-06-10,85.85865783691406,86.32829444981938,84.21614013366542,84.65657762001017,166651600
